id,address,email,first_name,gender,last_name,phone,picture,post_code,registered_date,username
a8113e42-63d7-4b91-a49d-3995823981b1,"6975 Castle Street, Greymouth, Bay of Plenty, New Zealand",samantha.davies@example.com,Samantha,female,Davies,(415)-967-3315,https://randomuser.me/api/portraits/med/women/6.jpg,60062,2002-06-26T01:05:26.665Z,beautifulcat892
a50f6800-194f-4e9f-ae09-8da3742e6312,"1375 Calle de Atocha, Palma de Mallorca, Andalucía, Spain",ricardo.montero@example.com,Ricardo,male,Montero,979-730-623,https://randomuser.me/api/portraits/med/men/70.jpg,96601,2014-03-19T10:58:37.642Z,goldenkoala805
170430eb-de50-4aa7-89d7-827a66bd8363,"6723 Parkvænget, Hirtsals, Danmark, Denmark",daniel.sorensen@example.com,Daniel,male,Sørensen,53853266,https://randomuser.me/api/portraits/med/men/42.jpg,18391,2003-11-09T01:34:26.493Z,organicelephant827
712049aa-12c9-4bd4-bd8d-54767de18d24,"9326 Simcoe St, Cochrane, Northwest Territories, Canada",victoria.ginnish@example.com,Victoria,female,Ginnish,Y77 Y34-7425,https://randomuser.me/api/portraits/med/women/18.jpg,Z5N 2R6,2015-03-19T12:00:35.942Z,sadduck793
ba40aefc-45af-40a1-8cc2-c2112d768108,"8997 Kirkevænget, Amager, Sjælland, Denmark",christoffer.pedersen@example.com,Christoffer,male,Pedersen,70161552,https://randomuser.me/api/portraits/med/men/32.jpg,21926,2012-01-25T17:45:09.579Z,bluezebra524
3077cf08-63a6-49f8-8f7b-0a7cd9b41167,"8136 Valwood Pkwy, Elk Grove, Alabama, United States",gloria.meyer@example.com,Gloria,female,Meyer,(851) 745-1653,https://randomuser.me/api/portraits/med/women/90.jpg,87376,2018-09-24T00:31:50.037Z,silverfrog683
4605a64c-b153-4abf-8e1c-e08c675f4c99,"3318 Rua São Pedro , Cariacica, Paraná, Brazil",ademar.caldeira@example.com,Ademar,male,Caldeira,(34) 2624-7138,https://randomuser.me/api/portraits/med/men/11.jpg,30605,2005-12-16T10:31:51.251Z,bigduck997
6fec4546-f15c-4898-95ad-1e2ded959f61,"127 Tunalı Hilmi Cd, Batman, Giresun, Turkey",nurdan.uluhan@example.com,Nurdan,female,Uluhan,(614)-030-9586,https://randomuser.me/api/portraits/med/women/9.jpg,62917,2002-04-19T21:13:00.273Z,brownswan477
3220dbfa-72d8-4a2a-b8a9-e000a3654457,"5548 Dyvekes vei, Hovden, Oslo, Norway",abigail.ulland@example.com,Abigail,female,Ulland,74032075,https://randomuser.me/api/portraits/med/women/72.jpg,9770,2018-01-30T17:06:18.143Z,bluekoala168
e49ab24e-8833-4e64-abc5-100755b1bb47,"7069 Grande Rue, Roubaix, Finistère, France",lise.faure@example.com,Lise,female,Faure,03-97-88-05-08,https://randomuser.me/api/portraits/med/women/36.jpg,71745,2006-07-13T14:30:08.081Z,crazypanda988
